time,q1_healthy,q2_healthy,q3_healthy,q4_healthy,omega1_healthy,omega2_healthy,omega3_healthy,wheel1_i_healthy,wheel1_w_healthy,wheel2_i_healthy,wheel2_w_healthy,wheel3_i_healthy,wheel3_w_healthy,wheel4_i_healthy,wheel4_w_healthy,q1_faulty,q2_faulty,q3_faulty,q4_faulty,omega1_faulty,omega2_faulty,omega3_faulty,wheel1_i_faulty,wheel1_w_faulty,wheel2_i_faulty,wheel2_w_faulty,wheel3_i_faulty,wheel3_w_faulty,wheel4_i_faulty,wheel4_w_faulty,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,-0.72284,0.014328,0.13201,-0.68509,-0.0023308,-0.0051633,0.0029846,0.62634,0.92285,-0.27522,1.4274,-1.7456,-0.28491,-1.4969,-1.3502,-0.71776,0.0064187,0.1298,-0.70242,-0.0041805,-0.00065178,-0.0031294,-1.3374,-0.11464,0.67733,-0.16183,-1.0236,-1.0943,-0.60664,0.75348
0.2,-0.71254,-0.0053321,0.12996,-0.68356,0.0013631,-0.0091357,-0.0010302,1.7572,-1.2302,-0.77222,-1.4386,-0.6004,0.3218,0.86765,0.02249,-0.69859,0.0040959,0.14758,-0.68568,-0.0049379,-0.0033777,0.00049206,1.4993,3.26,-0.11295,1.0607,-2.3274,-0.1427,-2.1375,0.20657
0.3,-0.70421,0.012597,0.11969,-0.70483,-0.0056513,0.0046167,0.0065015,-0.12462,1.3402,1.3169,0.59231,-1.7528,-2.9596,-2.3584,-0.27285,-0.7005,0.009576,0.12177,-0.70116,0.0029686,0.0021614,0.0038575,0.84101,0.24998,1.359,-0.31305,-0.79176,1.5598,-0.31735,-0.34169
0.4,-0.71845,0.018,0.12619,-0.68888,-0.0023735,-0.010492,0.0026237,-0.59998,0.075092,1.1062,0.29607,-1.7574,-0.89409,-1.6844,-0.45921,-0.69868,-0.0075677,0.12928,-0.68502,-0.0075142,0.0032205,-0.00030655,1.2996,2.2655,0.36087,1.8728,-0.90066,-1.1386,-1.7027,-0.89019
0.5,-0.70181,-0.012831,0.11881,-0.70083,-0.0022409,0.0001084,0.007419,1.6355,2.5486,-0.21657,-0.14008,0.12296,-1.2844,-2.0122,0.95418,-0.70919,-0.0012657,0.1251,-0.69804,-0.006797,-0.0084659,0.014207,1.2041,3.2241,-1.0984,0.45774,-0.21394,-0.97655,-1.1538,-1.6818
0.6,-0.7094,-0.0040365,0.11383,-0.69312,-0.00041858,0.00053912,0.0046735,0.14185,-0.8867,0.047243,-0.62442,-1.3956,0.44561,-3.1979,0.21986,-0.69646,0.0018241,0.11781,-0.70293,-0.011022,-0.0021496,-0.0043095,-0.34,3.6743,-0.096551,-1.169,-0.19142,-1.7029,0.18882,-1.9495
0.7,-0.69851,-0.00055438,0.12094,-0.69787,-0.0049153,-0.002718,0.0097517,-0.73355,1.5184,1.7186,-0.49981,0.65842,-1.8989,-1.0462,0.0074209,-0.7044,-0.011271,0.1363,-0.69397,-0.01319,-0.0059559,0.018015,-0.080634,2.9359,-1.0296,-0.21614,-3.3574,-3.1392,-1.0223,-1.6384
0.8,-0.71454,0.012517,0.13525,-0.68039,-0.0058721,0.00033928,0.012517,1.6346,2.3233,-1.2106,0.6284,-1.4314,-2.5584,-2.5756,-3.0115,-0.68672,0.016843,0.13481,-0.69241,-0.013507,0.010205,0.011286,-0.63522,1.7895,-0.57699,-0.37295,-1.78,-1.7245,-0.94671,-1.3558
0.9,-0.69652,0.0031614,0.11111,-0.68922,-0.013456,0.0035339,0.0067939,0.518,2.1465,-0.40023,-1.0544,-1.408,-2.455,-0.37998,-3.0827,-0.69963,0.0057219,0.1309,-0.69336,-0.014529,-0.0040729,0.0090618,-0.29877,2.3556,-0.13673,-2.3447,-0.24252,-2.5654,-1.8492,-4.2779
